--UPenn beam model (double gaussian)--
# baseData fitted to mcSquare simulation using BDL_matrad.txt
# created by Paul Anton Meder on 10-Dec-2019

Nozzle exit to Isocenter distance
420.0

SMX to Isocenter distance
2028.5

SMY to Isocenter distance
2028.5

Beam parameters
45 energies

NominalEnergy	MeanEnergy	EnergySpread	ProtonsMU	Weight1	SpotSize1x	Divergence1x	Correlation1x	SpotSize1y	Divergence1y	Correlation1y	Weight2	SpotSize2x	Divergence2x	Correlation2x	SpotSize2y	Divergence2y	Correlation2y	
173.333	173.841	1.12624	1e+06	1	3.9109	0.00229831	0.603225	3.9109	0.00229831	0.603225	0	0	0	0	0	0	0	
175.115	175.637	1.12873	1e+06	1	3.89256	0.0020749	0.674884	3.89256	0.0020749	0.674884	0	0	0	0	0	0	0	
176.897	177.432	1.13356	1e+06	1	3.8676	0.0018515	0.747783	3.8676	0.0018515	0.747783	0	0	0	0	0	0	0	
178.678	179.233	1.13452	1e+06	1	3.84934	0.00162812	0.819455	3.84934	0.00162812	0.819455	0	0	0	0	0	0	0	
180.46	181.015	1.13461	1e+06	1	3.82749	0.00149097	0.866039	3.82749	0.00149097	0.866039	0	0	0	0	0	0	0	
182.241	182.761	1.12191	1e+06	1	3.81225	0.00165952	0.790192	3.81225	0.00165952	0.790192	0	0	0	0	0	0	0	
184.023	184.511	1.11419	1e+06	1	3.79427	0.00181622	0.724545	3.79427	0.00181622	0.724545	0	0	0	0	0	0	0	
185.805	186.263	1.10988	1e+06	1	3.77558	0.00197293	0.659046	3.77558	0.00197293	0.659046	0	0	0	0	0	0	0	
187.586	188.011	1.09611	1e+06	1	3.75836	0.00212967	0.593317	3.75836	0.00212967	0.593317	0	0	0	0	0	0	0	
189.368	189.758	1.08988	1e+06	1	3.73652	0.00228642	0.528292	3.73652	0.00228642	0.528292	0	0	0	0	0	0	0	
191.149	191.535	1.07764	1e+06	1	3.71526	0.00235793	0.502184	3.71526	0.00235793	0.502184	0	0	0	0	0	0	0	
192.931	193.328	1.06511	1e+06	1	3.68522	0.00238263	0.498707	3.68522	0.00238263	0.498707	0	0	0	0	0	0	0	
194.713	195.121	1.057	1e+06	1	3.66272	0.00240733	0.494212	3.66272	0.00240733	0.494212	0	0	0	0	0	0	0	
196.494	196.913	1.04154	1e+06	1	3.63577	0.00243203	0.490319	3.63577	0.00243203	0.490319	0	0	0	0	0	0	0	
